Age,Income,Number of Children,Credit Score Encoded,Education Encoded,Marital Status_Single,Home Ownership _Rented
26.0,45000.0,0,0,0,1,1
29.0,27500.0,0,2,3,1,1
25.0,62500.0,0,0,1,1,1
29.0,68000.0,2,0,2,0,0
31.0,65000.0,0,0,1,1,1
36.0,92500.0,0,1,4,1,0
48.0,70000.0,1,1,2,0,0
30.0,117500.0,2,1,4,0,0
26.0,47500.0,0,0,0,1,1
45.0,115000.0,3,1,1,0,0
36.0,135000.0,0,1,1,0,0
45.0,110000.0,3,1,1,0,0
36.0,47500.0,0,0,0,1,1
26.0,40000.0,0,0,0,1,1
44.0,75000.0,0,1,4,1,0
42.0,105000.0,0,1,4,1,0
31.0,65000.0,0,0,1,1,1
41.0,110000.0,0,1,2,1,0
27.0,37500.0,0,2,3,1,1
45.0,100000.0,3,1,1,0,0
40.0,130000.0,0,1,3,1,0
40.0,130000.0,0,1,3,1,0
36.0,110000.0,0,1,2,1,0
47.0,97500.0,1,1,2,0,0
31.0,67500.0,0,0,1,1,1
36.0,90000.0,1,1,3,0,0
40.0,142500.0,0,1,3,1,0
28.0,32500.0,0,2,0,1,1
25.0,50000.0,0,1,1,1,1
25.0,57500.0,0,0,1,1,1
30.0,112500.0,2,1,4,0,0
40.0,142500.0,0,1,3,1,0
42.0,100000.0,0,1,4,1,0
36.0,140000.0,0,1,1,0,0
49.0,65000.0,1,1,2,0,0
51.0,140000.0,0,1,1,0,0
43.0,95000.0,0,1,4,1,0
34.0,45000.0,0,0,0,1,1
53.0,115000.0,0,1,0,0,0
39.0,62500.0,2,1,1,0,0
36.0,67500.0,2,1,1,0,0
28.0,32500.0,0,2,0,1,1
46.0,95000.0,1,1,3,0,0
36.0,57500.0,0,0,1,1,1
42.0,110000.0,0,1,4,1,0
29.0,27500.0,0,2,3,1,1
35.0,80000.0,1,1,2,0,0
28.0,32500.0,0,2,0,1,1
35.0,85000.0,1,1,2,0,0
25.0,60000.0,0,0,1,1,1
27.0,37500.0,0,2,3,1,1
45.0,105000.0,3,1,1,0,0
33.0,52500.0,0,0,3,1,1
44.0,87500.0,0,1,4,1,0
28.0,75000.0,0,0,1,1,1
30.0,117500.0,2,1,4,0,0
44.0,87500.0,0,1,4,1,0
31.0,70000.0,0,0,1,1,1
51.0,150000.0,0,1,1,0,0
29.0,27500.0,0,2,3,1,1
50.0,150000.0,0,1,4,0,0
34.0,47500.0,0,0,0,1,1
35.0,90000.0,1,1,2,0,0
36.0,90000.0,1,1,2,0,0
38.0,67500.0,2,1,1,0,0
26.0,45000.0,0,0,0,1,1
33.0,52500.0,0,0,3,1,1
47.0,95000.0,1,1,2,0,0
50.0,155000.0,0,1,4,0,0
52.0,130000.0,0,1,3,0,0
31.0,60000.0,0,0,1,1,1
37.0,72500.0,2,1,1,0,0
41.0,115000.0,0,1,2,1,0
25.0,60000.0,0,0,1,1,1
52.0,137500.0,0,1,3,0,0
36.0,112500.0,2,1,4,0,0
36.0,85000.0,1,1,2,0,0
36.0,37500.0,0,2,3,1,1
36.0,57500.0,0,0,0,1,1
36.0,77500.0,1,1,2,0,0
36.0,80000.0,2,1,4,0,0
43.0,92500.0,0,1,4,1,0
38.0,67500.0,2,1,1,0,0
36.0,55000.0,0,0,0,1,1
30.0,112500.0,2,1,4,0,0
50.0,155000.0,0,1,4,0,0
40.0,125000.0,0,1,3,1,0
36.0,125000.0,0,1,3,0,0
51.0,145000.0,0,1,1,0,0
36.0,85000.0,2,1,4,0,0
30.0,105000.0,2,1,4,0,0
36.0,100000.0,0,1,4,1,0
35.0,90000.0,1,1,2,0,0
34.0,47500.0,0,0,0,1,1
37.0,77500.0,2,1,1,0,0
43.0,92500.0,0,1,4,1,0
39.0,62500.0,2,1,1,0,0
25.0,57500.0,0,0,1,1,1
33.0,52500.0,0,0,3,1,1
36.0,87500.0,0,1,4,1,0
43.0,80000.0,0,1,4,1,0
49.0,77500.0,1,1,2,0,0
53.0,122500.0,0,1,0,0,0
33.0,82000.0,1,1,4,0,0
36.0,85000.0,2,1,4,0,0
33.0,52500.0,0,0,3,1,1
30.0,100000.0,2,1,4,0,0
53.0,122500.0,0,1,0,0,0
36.0,72500.0,2,1,1,0,0
31.0,95000.0,0,1,2,1,1
46.0,102500.0,1,1,3,0,0
26.0,50000.0,0,0,0,1,1
53.0,127500.0,0,1,0,0,0
36.0,62500.0,2,1,1,0,0
32.0,57500.0,0,0,0,1,1
49.0,77500.0,1,1,2,0,0
49.0,77500.0,1,1,2,0,0
36.0,65000.0,2,1,1,0,0
46.0,97500.0,1,1,3,0,0
32.0,57500.0,0,0,0,1,1
36.0,70000.0,2,1,1,0,0
36.0,85000.0,1,1,2,0,0
41.0,120000.0,0,1,2,1,0
25.0,59220.72230977647,0,0,1,1,1
33.0,52500.0,0,0,3,1,1
26.81315888262688,64993.093463611964,0,0,1,0,0
35.260582177897895,57500.0,0,0,0,1,1
28.969584627764558,68212.90760564808,1,0,1,0,0
32.201062586888916,47500.0,0,0,0,1,1
25.0,57651.252646089524,0,0,1,1,1
31.26379145299354,57500.0,0,0,0,1,1
29.793699936433256,69021.00021188914,0,0,1,1,1
26.0,47304.68558755779,0,0,0,1,1
34.17698500410384,47500.0,0,0,0,1,1
31.979914312095726,59510.042843952135,0,0,1,1,1
25.0,60113.06822227634,0,0,1,1,1
33.0,52500.0,0,0,3,1,1
29.279258972173626,57500.0,0,0,0,1,1
34.0,45678.37257943474,0,0,0,1,1
32.62990007321544,45000.0,0,0,0,1,1
26.0,45891.883316733976,0,0,0,1,1
29.314392941875717,64297.663725781546,0,0,1,1,1
29.20112741789226,51143.25979210438,0,0,1,1,1
27.1273937997981,47500.0,0,0,0,1,1
32.79121207698384,57500.0,0,0,0,1,1
26.596405149438166,47500.0,0,0,0,1,1
33.89509549280414,47467.217341501295,0,0,0,1,1
33.49469246226323,57500.0,0,0,1,1,1
33.814127503124105,57500.0,0,0,1,1,1
28.97791153150559,67969.62835582018,1,0,1,0,0
27.476308572361326,45000.0,0,0,0,1,1
33.172570624609534,57500.0,0,0,0,1,1
35.45801433608197,46822.517920102466,0,0,0,1,1
