,CUSTOMERID,GENERO,IDOSO,CASADO,DEPENDENTES,TEMPO_COMO_CLIENTE,SERVICO_TELEFONE,SERVICO_INTERNET,SERVICO_SEGURANCA,SUPORTE_TECNICO,STREAMINGTV,TIPO_CONTRATO,METODO_PAGAMENTO,PAGAMENTO_MENSAL,TOTAL_PAGO,CHURN
0,7590-VHVEG,FEMININO,0,SIM,NAO,1,NAO,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,29.85,29.85,0
1,5575-GNVDE,MASCULINO,0,NAO,NAO,34,SIM,DSL,SIM,NAO,NAO,UM ANO,ENVIO POR CORREIO,56.95,1889.5,0
2,3668-QPYBK,MASCULINO,0,NAO,NAO,2,SIM,DSL,SIM,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,53.85,108.15,1
3,7795-CFOCW,MASCULINO,0,NAO,NAO,45,NAO,DSL,SIM,SIM,NAO,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1840.75,0
16,8191-XWSZG,FEMININO,0,NAO,NAO,52,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,ENVIO POR CORREIO,65.60756321839081,1022.95,0
17,9959-WOFKT,MASCULINO,0,NAO,SIM,71,SIM,FIBER OPTIC,SIM,NAO,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,7382.25,0
18,4190-MFLUW,FEMININO,0,SIM,SIM,10,SIM,DSL,NAO,SIM,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,528.35,1
19,4183-MYFRB,FEMININO,0,NAO,NAO,21,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,1862.9,0
20,8779-QRDMV,MASCULINO,1,NAO,NAO,1,NAO,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,39.65,1
21,1680-VDCWW,MASCULINO,0,SIM,NAO,12,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,202.25,0
22,1066-JKSGK,MASCULINO,0,NAO,NAO,1,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,20.15,1
23,3638-WEABW,FEMININO,0,SIM,NAO,58,SIM,DSL,NAO,SIM,NAO,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,3505.1,0
24,6322-HRPFA,MASCULINO,0,SIM,SIM,49,SIM,DSL,SIM,SIM,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,2970.3,0
