Credit_Score,Pais,Genero,Idade,Tempo_Credito,Balanco,Qtd_Produtos,Possui_Cartao,Membro_Ativo,Salario_Anual,Churn
677,SPAIN,Male,18.0,5,134796.87,2,1.0,0.0,1011687.0,0.0
644,SPAIN,Female,18.0,7,0.0,1,0.0,1.0,1011687.0,0.0
641,SPAIN,Male,18.0,1,0.0,2,0.0,1.0,1011687.0,0.0
826,SPAIN,Male,18.0,2,0.0,2,0.0,1.0,1011687.0,0.0
774,SPAIN,Female,18.0,1,185891.54,1,1.0,0.0,1011687.0,0.0
688,SPAIN,Female,18.0,2,0.0,2,1.0,0.0,1011687.0,0.0
803,SPAIN,Male,18.0,6,0.0,1,0.0,0.0,1011687.0,1.0
578,SPAIN,Female,18.0,8,71843.15,2,0.0,1.0,1011687.0,0.0
598,SPAIN,Male,18.0,6,0.0,2,0.0,1.0,1011687.0,0.0
624,SPAIN,Female,18.0,6,0.0,2,0.0,1.0,1011687.0,0.0
636,SPAIN,Male,18.0,7,0.0,2,0.0,1.0,1011687.0,0.0
644,SPAIN,Male,18.0,8,0.0,1,0.0,1.0,1011687.0,0.0
850,SPAIN,Female,18.0,4,151955.65,2,1.0,1.0,1011687.0,0.0
556,SPAIN,Female,18.0,4,112203.25,1,1.0,0.0,1011687.0,0.0
681,SPAIN,Male,18.0,8,98894.39,1,1.0,1.0,1011687.0,0.0
748,SPAIN,Male,18.0,10,133432.59,1,0.0,1.0,1011687.0,0.0
639,SPAIN,Female,18.0,8,0.0,2,0.0,1.0,1011687.0,0.0
545,SPAIN,Female,18.0,10,0.0,2,1.0,0.0,1011687.0,0.0
762,SPAIN,Female,19.0,6,0.0,2,0.0,0.0,1011687.0,1.0
630,SPAIN,Male,19.0,9,0.0,2,1.0,1.0,1011687.0,0.0
762,SPAIN,Female,19.0,3,0.0,2,1.0,0.0,1011687.0,0.0
489,SPAIN,Male,19.0,4,130274.22,1,1.0,1.0,1011687.0,0.0
613,SPAIN,Female,19.0,5,0.0,2,0.0,0.0,1011687.0,0.0
696,SPAIN,Female,19.0,8,110928.51,1,1.0,1.0,1011687.0,0.0
543,SPAIN,Female,19.0,7,0.0,2,1.0,0.0,1011687.0,0.0
756,SPAIN,Male,19.0,4,130274.22,1,1.0,0.0,1011687.0,1.0
631,SPAIN,Female,19.0,6,0.0,3,0.0,1.0,1011687.0,1.0
626,SPAIN,Female,19.0,6,0.0,2,1.0,0.0,1011687.0,0.0
473,SPAIN,Female,19.0,9,106866.69,2,0.0,0.0,1011687.0,0.0
615,SPAIN,Male,19.0,5,0.0,1,1.0,0.0,1011687.0,0.0
577,SPAIN,Male,19.0,8,0.0,1,1.0,1.0,1011687.0,0.0
652,SPAIN,Female,19.0,5,0.0,2,1.0,0.0,1011687.0,0.0
613,SPAIN,Female,19.0,5,0.0,1,1.0,1.0,1011687.0,0.0
579,SPAIN,Male,19.0,7,0.0,2,1.0,0.0,1011687.0,0.0
587,SPAIN,Female,19.0,8,0.0,2,1.0,1.0,1011687.0,0.0
615,SPAIN,Male,19.0,5,0.0,2,0.0,0.0,1011687.0,0.0
755,SPAIN,Female,19.0,7,0.0,1,1.0,0.0,1011687.0,1.0
705,SPAIN,Male,19.0,5,0.0,2,0.0,1.0,1011687.0,0.0
593,SPAIN,Male,19.0,1,0.0,2,1.0,1.0,1011687.0,0.0
634,SPAIN,Male,19.0,8,0.0,1,1.0,0.0,1011687.0,0.0
478,SPAIN,Female,19.0,6,80922.75,1,1.0,0.0,1011687.0,0.0
714,SPAIN,Male,19.0,9,0.0,1,1.0,1.0,1011687.0,0.0
615,SPAIN,Male,19.0,6,0.0,2,0.0,0.0,1011687.0,0.0
706,SPAIN,Female,19.0,8,0.0,2,0.0,1.0,1011687.0,0.0
565,SPAIN,Male,19.0,8,0.0,2,1.0,1.0,1011687.0,0.0
592,SPAIN,Female,19.0,4,0.0,2,1.0,0.0,1011687.0,0.0
756,SPAIN,Female,19.0,1,130274.22,2,1.0,0.0,1011687.0,0.0
602,SPAIN,Male,19.0,5,103907.28,1,1.0,0.0,1011687.0,0.0
468,SPAIN,Male,19.0,5,118358.68,1,0.0,0.0,1011687.0,1.0
754,SPAIN,Female,19.0,9,0.0,1,1.0,0.0,1011687.0,1.0
739,SPAIN,Male,19.0,5,0.0,2,1.0,0.0,1011687.0,0.0
652,SPAIN,Female,19.0,7,143390.51,1,1.0,0.0,1011687.0,0.0
619,SPAIN,Male,20.0,2,135827.33,1,1.0,0.0,1011687.0,0.0
790,SPAIN,Male,20.0,8,0.0,2,1.0,1.0,1011687.0,0.0
658,SPAIN,Male,20.0,7,0.0,2,0.0,0.0,1011687.0,0.0
